2026-08-14 07:39:18,485 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-14 07:39:18,485 | INFO    | test | START tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1]
2026-08-14 07:39:18,506 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:39:18,506 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:39:18,511 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,511 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 07:39:18,515 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 404 Not Found"
2026-08-14 07:39:18,515 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 404 (2 ms)
2026-08-14 07:39:18,518 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:39:18,519 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (1 ms)
2026-08-14 07:39:18,520 | INFO    | test | END   tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[-1] (0.03s)
