2026-08-14 08:35:12,715 | INFO    | test | START tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[webkit]
2026-08-14 08:35:14,386 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:35:14,387 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (13 ms)
2026-08-14 08:35:14,393 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:35:14,393 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:35:14,396 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 08:35:14,396 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 08:35:14,399 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 08:35:14,399 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (3 ms)
2026-08-14 08:35:15,236 | INFO    | test | END   tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[webkit] (2.52s)
